参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
西吉,105.625,35.875,2001,1,0.101,13.1,-8.93,6.79,11.28,-15.57,-3.42,1.270980547,0.565830208
西吉,105.625,35.875,2001,2,0.113,15.35,-5.25,6.56,8.69,-9.83,2.03,0.743604235,0.687598638
西吉,105.625,35.875,2001,3,0.113,12.47,-0.66,5.96,3.84,-10.32,8.77,-3.219447238,0.683406743
西吉,105.625,35.875,2001,4,0.117,16.32,6.41,21.31,29.29,-7.55,14.65,0.628358294,-0.542513908
西吉,105.625,35.875,2001,5,0.148,18.18,12.75,49.13,20.69,5.81,19.68,-1.826674725,1.223036444
西吉,105.625,35.875,2001,6,0.191,19.47,17.3,69.78,56.61,11.48,21.73,0.049447006,1.498053152
西吉,105.625,35.875,2001,7,0.239,19.43,19.83,74.19,68.01,13.24,23.67,-0.469494729,1.350711197
西吉,105.625,35.875,2001,8,0.266,21.08,16.63,48.86,74.94,10.97,23.02,-0.312514261,0.819065407
西吉,105.625,35.875,2001,9,0.294,26.9,11.47,33.17,102.97,7.06,16.14,1.670895458,-0.039621035
西吉,105.625,35.875,2001,10,0.18,25.51,7.47,20.3,25.38,1.65,11.15,0.423684772,1.437032721
西吉,105.625,35.875,2001,11,0.132,20.81,-0.58,13.35,4.59,-6.17,7.38,-0.641136538,0.912894522
西吉,105.625,35.875,2001,12,0.113,16.36,-7.81,9.92,8.58,-17.39,-2.24,1.169081172,-0.312631771
西吉,105.625,35.875,2002,1,0.113,13.14,-6.89,5.38,6.0,-13.9,1.04,0.706007407,1.562502176
西吉,105.625,35.875,2002,2,0.113,12.52,-2.25,3.59,7.09,-9.24,2.9,0.234930646,1.234766051
西吉,105.625,35.875,2002,3,0.113,13.46,2.41,9.21,12.39,-5.75,11.29,0.53498416,1.006604631
西吉,105.625,35.875,2002,4,0.124,18.24,7.09,28.82,28.07,-1.45,16.74,0.128464591,0.025415477
西吉,105.625,35.875,2002,5,0.176,25.13,11.05,50.33,75.62,3.15,18.78,0.947824393,-0.661500669
西吉,105.625,35.875,2002,6,0.341,22.09,18.23,82.74,61.8,10.65,21.6,1.381372046,1.893742431
西吉,105.625,35.875,2002,7,0.357,19.73,19.65,84.71,44.72,14.55,24.42,-0.738102034,0.464634887
西吉,105.625,35.875,2002,8,0.282,19.64,17.6,53.09,34.19,12.15,24.51,-0.459274655,0.476621636
西吉,105.625,35.875,2002,9,0.231,20.01,12.22,27.31,61.04,4.21,21.94,-0.701097375,0.565498154
西吉,105.625,35.875,2002,10,0.156,20.3,6.65,21.84,35.32,-1.46,13.81,0.080951594,0.574173733
西吉,105.625,35.875,2002,11,0.128,18.34,0.07,12.5,7.16,-4.56,5.48,-1.357247003,0.736884555
西吉,105.625,35.875,2002,12,0.124,15.56,-7.13,4.54,6.08,-19.4,0.61,1.605565278,-0.361447703
西吉,105.625,35.875,2003,1,0.101,13.69,-6.46,3.2,10.79,-13.91,0.78,0.727469531,0.46804613
西吉,105.625,35.875,2003,2,0.117,15.16,-1.86,9.2,6.53,-10.13,4.6,0.176656953,0.944650875
西吉,105.625,35.875,2003,3,0.113,16.27,1.56,13.54,20.86,-8.46,14.31,0.226849533,0.461534951
西吉,105.625,35.875,2003,4,0.124,18.92,7.09,29.7,29.13,-0.89,15.32,0.026991504,-0.170439262
西吉,105.625,35.875,2003,5,0.164,21.85,11.7,45.75,63.62,4.52,17.71,1.367039422,0.209027451
西吉,105.625,35.875,2003,6,0.246,20.77,16.63,83.94,55.41,10.07,21.38,-0.550494906,0.530568732
西吉,105.625,35.875,2003,7,0.29,22.77,18.34,75.46,89.25,13.37,22.98,0.661040943,-0.282872712
西吉,105.625,35.875,2003,8,0.302,22.79,16.57,48.43,74.82,10.04,20.93,1.462774962,-0.748967394
