参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
天水,105.375,34.375,2001,1,0.152,19.72,-6.64,8.91,15.57,-12.9,-2.86,0.090491803,0.034333579
天水,105.375,34.375,2001,2,0.148,21.76,-3.07,7.88,10.78,-7.87,2.87,0.07117205,0.223834278
天水,105.375,34.375,2001,3,0.164,18.71,1.35,12.74,12.47,-6.58,8.73,-1.277796823,-0.230376571
天水,105.375,34.375,2001,4,0.191,24.31,6.35,33.31,53.36,-5.03,13.64,1.465039341,-0.280539264
天水,105.375,34.375,2001,5,0.282,28.27,12.16,88.03,56.09,6.11,18.62,-1.689674175,-0.67378709
天水,105.375,34.375,2001,6,0.384,28.71,15.63,86.4,73.83,9.59,20.55,0.331889625,0.447675851
天水,105.375,34.375,2001,7,0.416,26.66,18.97,84.87,81.83,13.79,21.59,0.274389862,1.066920844
天水,105.375,34.375,2001,8,0.424,27.89,16.08,62.02,78.52,8.91,20.65,1.186261626,-0.375121991
天水,105.375,34.375,2001,9,0.42,34.23,11.64,35.56,146.57,7.25,15.62,0.725761994,0.749249051
天水,105.375,34.375,2001,10,0.369,33.7,8.05,27.6,40.8,4.68,11.76,0.299676052,1.802120708
天水,105.375,34.375,2001,11,0.286,29.38,1.1,21.26,11.43,-3.55,7.31,0.50421661,0.428691406
天水,105.375,34.375,2001,12,0.211,23.44,-5.87,11.96,9.51,-14.33,0.77,1.141942176,-0.334289373
天水,105.375,34.375,2002,1,0.187,18.62,-4.6,7.8,10.06,-10.28,3.39,0.963806633,0.053850612
天水,105.375,34.375,2002,2,0.18,18.18,-1.06,5.75,7.21,-9.57,3.28,-1.42049136,1.058889924
天水,105.375,34.375,2002,3,0.199,22.99,3.36,24.69,26.83,-4.25,10.51,0.52540591,1.141021333
天水,105.375,34.375,2002,4,0.286,28.14,7.61,53.32,51.53,2.14,16.73,-2.108028899,1.008650569
天水,105.375,34.375,2002,5,0.396,32.5,10.54,66.35,101.04,4.59,16.56,1.999584192,-0.483571737
天水,105.375,34.375,2002,6,0.487,30.51,16.89,92.64,78.64,12.05,20.2,-0.273676372,2.089596557
天水,105.375,34.375,2002,7,0.498,27.0,18.2,93.99,62.54,13.02,22.39,-0.945947006,0.393040964
天水,105.375,34.375,2002,8,0.404,28.53,16.61,74.88,55.14,11.8,22.6,-0.854529289,-0.294503601
天水,105.375,34.375,2002,9,0.408,26.51,12.47,44.48,65.12,5.89,20.45,-0.489352443,0.080334466
天水,105.375,34.375,2002,10,0.321,28.57,7.59,32.63,51.64,-1.23,13.53,-0.429529597,0.017217541
天水,105.375,34.375,2002,11,0.246,27.84,2.61,21.86,18.8,-1.52,7.61,-0.322524431,0.148588635
天水,105.375,34.375,2002,12,0.239,23.95,-4.67,10.26,10.62,-18.25,3.37,1.436419275,-0.404405725
天水,105.375,34.375,2003,1,0.164,21.46,-3.5,8.83,9.33,-10.93,2.42,-0.048927744,-0.178334375
天水,105.375,34.375,2003,2,0.183,21.11,-0.59,8.28,10.08,-5.56,4.98,1.119989306,0.70773429
天水,105.375,34.375,2003,3,0.176,24.4,2.84,26.42,29.64,-6.41,14.68,-0.107593107,0.036320227
