参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
宝鸡,107.125,34.125,2001,1,0.329,19.21,-7.46,12.13,16.26,-12.31,-2.67,0.530188918,0.400087232
宝鸡,107.125,34.125,2001,2,0.341,19.72,-3.7,13.49,10.68,-9.39,1.77,0.748038366,0.870599777
宝鸡,107.125,34.125,2001,3,0.349,15.76,1.5,23.92,10.75,-6.71,7.64,-2.906008189,1.141160547
宝鸡,107.125,34.125,2001,4,0.408,17.89,6.34,39.68,43.03,-5.0,14.19,-0.363927792,-0.726821655
宝鸡,107.125,34.125,2001,5,0.837,23.33,12.66,97.12,42.26,4.35,17.76,-1.813571997,1.084140976
宝鸡,107.125,34.125,2001,6,0.833,24.08,15.7,104.13,81.05,10.23,19.29,-0.422220485,0.866177115
宝鸡,107.125,34.125,2001,7,0.9,22.37,19.15,114.48,85.28,13.22,22.07,-0.272954107,1.578363184
宝鸡,107.125,34.125,2001,8,0.892,23.18,16.16,75.46,85.37,8.22,21.42,-0.026485793,-0.070842332
宝鸡,107.125,34.125,2001,9,0.861,28.37,10.99,30.48,135.08,4.41,15.9,1.114143804,-0.353854096
宝鸡,107.125,34.125,2001,10,0.62,26.86,7.14,23.6,46.51,2.81,10.17,-0.246420858,1.198915921
宝鸡,107.125,34.125,2001,11,0.51,23.91,0.16,15.27,10.34,-5.85,4.94,-1.250223087,0.849862395
宝鸡,107.125,34.125,2001,12,0.518,20.17,-7.21,14.66,19.19,-14.1,-1.79,2.126214129,-1.098866557
宝鸡,107.125,34.125,2002,1,0.365,18.33,-4.63,14.3,11.71,-10.14,1.61,0.926416796,1.025736238
宝鸡,107.125,34.125,2002,2,0.357,17.87,-1.66,10.71,9.79,-6.83,2.63,-0.264693804,1.129782811
宝鸡,107.125,34.125,2002,3,0.38,19.38,3.31,29.93,25.56,-5.44,9.93,-0.486662715,1.129338326
宝鸡,107.125,34.125,2002,4,0.479,23.23,6.41,53.47,54.36,-0.92,14.77,-0.410603956,0.16226376
宝鸡,107.125,34.125,2002,5,0.703,27.0,10.23,66.36,94.54,4.56,16.93,-0.253176377,-0.732418068
宝鸡,107.125,34.125,2002,6,0.865,26.44,17.22,113.61,99.49,13.92,19.73,1.147686344,2.138071182
宝鸡,107.125,34.125,2002,7,0.9,23.73,18.32,119.91,60.06,12.07,23.41,-1.56874781,1.497660668
宝鸡,107.125,34.125,2002,8,0.853,25.58,16.08,83.77,81.88,10.33,22.86,0.309223336,0.077180522
宝鸡,107.125,34.125,2002,9,0.825,23.95,12.24,55.16,71.77,5.36,19.93,-1.178010596,0.956277762
宝鸡,107.125,34.125,2002,10,0.565,24.54,7.69,37.34,53.75,-0.23,14.33,-0.156827122,1.130475799
宝鸡,107.125,34.125,2002,11,0.487,24.03,1.07,20.55,19.98,-3.29,5.59,-1.232528999,0.77096958
宝鸡,107.125,34.125,2002,12,0.428,23.67,-6.72,10.77,13.8,-19.81,2.54,1.408816037,-0.532857579
宝鸡,107.125,34.125,2003,1,0.42,21.98,-5.67,14.83,13.98,-14.64,0.31,0.698227734,0.253287362
宝鸡,107.125,34.125,2003,2,0.369,22.27,-1.7,17.76,15.17,-7.17,5.08,0.704712292,1.0302529
宝鸡,107.125,34.125,2003,3,0.388,23.51,1.56,33.29,28.62,-9.13,14.56,1.022091275,0.140743987
宝鸡,107.125,34.125,2003,4,0.471,24.47,6.21,37.69,45.57,-0.87,14.7,-0.488918162,-0.320031991
宝鸡,107.125,34.125,2003,5,0.68,25.34,11.91,75.03,78.17,6.36,17.37,0.23155512,0.531866618
宝鸡,107.125,34.125,2003,6,0.872,24.12,15.87,109.6,77.93,8.15,20.25,-0.942237254,0.848031044
宝鸡,107.125,34.125,2003,7,0.884,26.06,17.44,87.13,109.89,12.9,21.05,0.169354506,-0.21054517
宝鸡,107.125,34.125,2003,8,0.865,28.3,15.62,56.15,189.78,8.65,20.24,1.115934915,-1.345796892
宝鸡,107.125,34.125,2003,9,0.837,30.57,12.51,52.08,143.75,3.45,16.17,1.218375504,0.882203504
宝鸡,107.125,34.125,2003,10,0.711,30.32,5.76,28.94,86.93,1.4,9.76,0.46134429,-0.447275154
宝鸡,107.125,34.125,2003,11,0.447,29.04,-0.46,17.3,30.3,-7.19,7.43,1.21628145,-0.478953252
宝鸡,107.125,34.125,2003,12,0.4,29.63,-5.04,25.28,14.76,-10.11,-1.77,0.107592643,0.40022447
宝鸡,107.125,34.125,2004,1,0.361,22.29,-6.74,18.9,15.22,-13.67,-2.08,-0.161989914,0.589354517
宝鸡,107.125,34.125,2004,2,0.372,18.82,-2.01,18.27,26.04,-11.2,5.66,0.142803415,0.970355677
宝鸡,107.125,34.125,2004,3,0.38,23.29,2.07,30.54,27.04,-4.72,9.41,-0.079719521,0.668576012
宝鸡,107.125,34.125,2004,4,0.514,23.08,9.72,57.78,30.35,0.81,18.47,-1.536428293,2.111524686
宝鸡,107.125,34.125,2004,5,0.723,24.32,11.84,89.3,60.84,-0.77,17.68,-0.638628373,0.549181245
